danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.475,0.983,7,-1.83,1,0.198,0.0145,0.0,0.224,0.478,139.966,audio_features,3qaMprRWLGggArD14diXYz,spotify:track:3qaMprRWLGggArD14diXYz,https://api.spotify.com/v1/tracks/3qaMprRWLGggArD14diXYz,https://api.spotify.com/v1/audio-analysis/3qaMprRWLGggArD14diXYz,123429,4
0.664,0.589,10,-9.21,1,0.143,0.564,0.0,0.228,0.418,116.113,audio_features,2trIptvItNErAkJBJnJ3j9,spotify:track:2trIptvItNErAkJBJnJ3j9,https://api.spotify.com/v1/tracks/2trIptvItNErAkJBJnJ3j9,https://api.spotify.com/v1/audio-analysis/2trIptvItNErAkJBJnJ3j9,198621,4
0.779,0.49,8,-6.787,0,0.0629,0.121,3.7e-05,0.112,0.399,140.877,audio_features,1dwuA3034avUaHBlIOUSlg,spotify:track:1dwuA3034avUaHBlIOUSlg,https://api.spotify.com/v1/tracks/1dwuA3034avUaHBlIOUSlg,https://api.spotify.com/v1/audio-analysis/1dwuA3034avUaHBlIOUSlg,110638,4
0.631,0.581,10,-10.37,0,0.139,0.225,0.000495,0.11,0.107,94.998,audio_features,4jiwxqE1yye4hzG5CpNcUH,spotify:track:4jiwxqE1yye4hzG5CpNcUH,https://api.spotify.com/v1/tracks/4jiwxqE1yye4hzG5CpNcUH,https://api.spotify.com/v1/audio-analysis/4jiwxqE1yye4hzG5CpNcUH,123789,4
0.633,0.607,0,-6.182,0,0.0532,0.183,1.38e-06,0.167,0.363,74.029,audio_features,2N0SPREDYqILVEFSsWF5N5,spotify:track:2N0SPREDYqILVEFSsWF5N5,https://api.spotify.com/v1/tracks/2N0SPREDYqILVEFSsWF5N5,https://api.spotify.com/v1/audio-analysis/2N0SPREDYqILVEFSsWF5N5,182293,4
0.405,0.564,4,-5.263,1,0.0263,0.00268,0.00123,0.0961,0.549,144.131,audio_features,69E0PXED6MvClnqED4d7f5,spotify:track:69E0PXED6MvClnqED4d7f5,https://api.spotify.com/v1/tracks/69E0PXED6MvClnqED4d7f5,https://api.spotify.com/v1/audio-analysis/69E0PXED6MvClnqED4d7f5,180323,4
0.587,0.7,8,-5.857,0,0.0366,0.0107,0.0,0.0682,0.496,129.995,audio_features,3uMUdlo47oEes3kgL4T4EC,spotify:track:3uMUdlo47oEes3kgL4T4EC,https://api.spotify.com/v1/tracks/3uMUdlo47oEes3kgL4T4EC,https://api.spotify.com/v1/audio-analysis/3uMUdlo47oEes3kgL4T4EC,213954,4
0.655,0.308,4,-9.904,0,0.0356,0.903,0.0,0.183,0.397,94.811,audio_features,7ojBwkKhmZzXDjrqwfLH26,spotify:track:7ojBwkKhmZzXDjrqwfLH26,https://api.spotify.com/v1/tracks/7ojBwkKhmZzXDjrqwfLH26,https://api.spotify.com/v1/audio-analysis/7ojBwkKhmZzXDjrqwfLH26,172095,4
0.79,0.742,11,-6.122,0,0.0637,0.208,0.0,0.308,0.7,103.349,audio_features,2T41OZDWpiz5LTjyP6gZrX,spotify:track:2T41OZDWpiz5LTjyP6gZrX,https://api.spotify.com/v1/tracks/2T41OZDWpiz5LTjyP6gZrX,https://api.spotify.com/v1/audio-analysis/2T41OZDWpiz5LTjyP6gZrX,160183,4
0.689,0.454,2,-7.643,1,0.0584,0.0351,0.00259,0.0707,0.912,159.982,audio_features,3qhlB30KknSejmIvZZLjOD,spotify:track:3qhlB30KknSejmIvZZLjOD,https://api.spotify.com/v1/tracks/3qhlB30KknSejmIvZZLjOD,https://api.spotify.com/v1/audio-analysis/3qhlB30KknSejmIvZZLjOD,159246,4
